323,Fortaleza,BRA,Ceara,2452185,-3.7275,-38.5275
324,Guatemala City,GTM,Guatemala,2450212,14.6099,-90.5252
325,Yaounde,CMR,Centre,2440462,3.8578,11.5181
326,Douala,CMR,Littoral,2446945,4.05,9.7
327,Jilin,CHN,Jilin,2396000,43.85,126.55
328,Lianshan,CHN,Liaoning,2426000,40.7503,120.83
329,Lincang,CHN,Yunnan,2429497,23.8864,100.0871
330,Antalya,TUR,Antalya,2426356,36.9081,30.6956
331,Tashkent,UZB,Toshkent,2424100,41.3,69.2667
332,Huangshi,CHN,Hubei,2419000,30.2018,115.0326
333,Bandung,IDN,Jawa Barat,2394873,-6.95,107.5667
334,Nagpur,IND,Maharashtra,2405665,21.1539,79.0831
335,Dandong,CHN,Liaoning,2400000,40.1167,124.3833
336,Huainan,CHN,Anhui,2409000,32.4831,117.0164
337,Shangzhou,CHN,Shaanxi,2400000,33.868,109.9244
338,Bekasi,IDN,Jawa Barat,2381053,-6.2333,107
339,Ghaziabad,IND,Uttar Pradesh,2381452,28.6667,77.4167
340,Tijuana,MEX,Baja California,2384609,32.525,-117.0333
341,Jiamusi,CHN,Heilongjiang,2360000,46.8081,130.3653
342,Yangjiang,CHN,Guangdong,2357000,21.8556,111.9627
343,Accra,GHA,Greater Accra,2291352,5.6037,-0.187
344,Yuxi,CHN,Yunnan,2303518,24.3495,102.5432
345,Fushun,CHN,Liaoning,2300000,41.8708,123.8917
346,Anshun,CHN,Guizhou,2297612,26.2456,105.934
347,Vancouver,CAN,British Columbia,2264823,49.25,-123.1
348,Tangerang,IDN,Jawa Barat,2237006,-6.1783,106.6319
349,Konya,TUR,Konya,2232374,37.8714,32.4847
350,Queens,USA,New York,2230722,40.7498,-73.7976
351,Yingkou,CHN,Liaoning,2220000,40.6653,122.2297
352,Adana,TUR,Adana,2220125,37,35.325
353,Medan,IDN,Sumatera Utara,2210625,3.6667,98.6667
354,Sanmenxia,CHN,Henan,2213000,34.7736,111.195
355,Indore,IND,Madhya Pradesh,2201927,22.7206,75.8472
356,Ma'anshan,CHN,Anhui,2202899,31.7135,118.3605
357,Pingliang,CHN,Gansu,2190000,35.5412,106.6819
358,Quzhou,CHN,Zhejiang,2185000,28.9545,118.8763
359,Baku,AZE,Baki,2181800,40.3667,49.8352
360,Gaoping,CHN,Sichuan,2174000,30.7804,106.13
361,Huaibei,CHN,Anhui,2158000,33.9562,116.789
362,Xining,CHN,Qinghai,2154000,36.6239,101.7787
363,Yan'an,CHN,Shaanxi,2150000,36.5952,109.4863
364,Havana,CUB,La Habana,2141652,23.1367,-82.3589
365,Phnom Penh,KHM,Phnom Penh,2129371,11.5696,104.921
366,Fukuoka,JPN,Fukuoka,2128000,33.5903,130.4019
367,Mogadishu,SOM,Banaadir,2120000,2.0408,45.3425
368,Jincheng,CHN,Shanxi,2120000,35.4906,112.8483
369,Lishui,CHN,Zhejiang,2116957,28.45,119.9167
370,Qingyang,CHN,Fujian,2111000,24.8141,118.5792
371,Riverside,USA,California,2107852,33.9381,-117.3948
372,Baltimore,USA,Maryland,2106068,39.3051,-76.6144
373,Haiphong,VNM,Ha?i Phong,2103500,20.8,106.6667
374,Las Vegas,USA,Nevada,2104198,36.2333,-115.2654
375,Laibin,CHN,Guangxi,2099711,23.7333,109.2333
376,Rawalpindi,PAK,Punjab,2098231,33.6007,73.0679
377,Kumasi,GHA,Ashanti,2069350,6.6833,-1.6167
378,Portland,USA,Oregon,2074775,45.5372,-122.65
379,Vadodara,IND,Gujarat,2065771,22.3,73.2
380,Perth,AUS,Western Australia,2059484,-31.9522,115.8589
381,Puning,CHN,Guangdong,2055552,23.2993,116.1586
382,San Antonio,USA,Texas,2049293,29.4658,-98.5253
383,Haikou,CHN,Hainan,2046189,20.02,110.32
384,Vishakhapatnam,IND,Andhra Pradesh,2035922,17.7333,83.3167
385,Gaziantep,TUR,Gaziantep,2028563,37.0667,37.3833
386,Minsk,BLR,Minsk,2020600,53.9022,27.5618
387,St. Louis,USA,Missouri,2024074,38.6358,-90.2451
388,Bamako,MLI,Bamako,2009109,12.6458,-7.9922
389,Quito,ECU,Pichincha,2011388,-0.2186,-78.5097
390,Pingxiang,CHN,Jiangxi,2001027,27.6333,113.85
391,Chongzuo,CHN,Guangxi,1994285,22.4167,107.3667
392,Sanliurfa,TUR,Sanliurfa,1985753,37.1583,38.7917
393,Kananga,COD,Kasai Central,1971704,-5.897,22.4488
394,Peshawar,PAK,Khyber Pakhtunkhwa,1970042,34,71.5
395,Sapporo,JPN,Hokkaido,1958756,43.0621,141.3544
396,Jixi,CHN,Heilongjiang,1950000,45.2937,130.965
397,Caracas,VEN,Distrito Capital,1943901,10.5,-66.9333
398,Fuxin,CHN,Liaoning,1930000,42.0127,121.6486
399,Leeds,GBR,Leeds,1901934,53.7997,-1.5492
400,Sacramento,USA,California,1898019,38.5667,-121.4683
401,Blantyre,MWI,Blantyre,1895973,-15.7861,35.0058
402,Tainan,TWN,Tainan,1883831,22.9833,120.1833
403,Bucharest,ROU,Bucuresti,1883425,44.4,26.0833
404,Wuwei,CHN,Gansu,1890000,37.9278,102.6329
405,Bhopal,IND,Madhya Pradesh,1883381,23.25,77.4167
406,Curitiba,BRA,Parana,1879355,-25.4297,-49.2719
407,Xiping,CHN,Shanxi,1873000,40.08,113.3
408,Asuncion,PRY,Asuncion,1870000,-25.3,-57.6333
409,Saidu Sharif,PAK,Khyber Pakhtunkhwa,1860310,34.75,72.3572
410,Vienna,AUT,Wien,1840573,48.2083,16.3731
411,Aleppo,SYR,Halab,1834093,36.2,37.15
412,Hamburg,DEU,Hamburg,1841179,53.55,10
413,Meru,KEN,Meru,1833000,0.05,37.65
414,Brazzaville,COG,Brazzaville,1827000,-4.2667,15.2833
415,Orlando,USA,Florida,1822394,28.4772,-81.3369
416,Mersin,TUR,Mersin,1814468,36.8,34.6167
417,Almaty,KAZ,Almaty,1806833,43.25,76.9
418,Barranquilla,COL,Atlantico,1798000,10.96,-74.8
419,Kyoto,JPN,Kyoto,1805000,35.0111,135.7669
420,Manaus,BRA,Amazonas,1802014,-3.1,-60.0167
421,Liaoyang,CHN,Liaoning,1800000,41.2643,123.1772
422,Baiyin,CHN,Gansu,1799000,36.5448,104.1766
423,San Jose,USA,California,1798103,37.3019,-121.8486
424,Warsaw,POL,Mazowieckie,1790658,52.2167,21.0333
425,Shengli,CHN,Shandong,1790000,37.45,118.4667
426,Lubumbashi,COD,Haut-Katanga,1786397,-11.6697,27.4581
427,Damascus,SYR,Dimashq,1754000,33.5131,36.2919
428,Shuyangzha,CHN,Jiangsu,1770000,34.1299,118.7734
429,Shangqiu,CHN,Henan,1753000,34.4504,115.65
430,Esfahan,IRN,Esfahan,1756126,32.6447,51.6675
431,Budapest,HUN,Budapest,1752286,47.4983,19.0408
432,Heihe,CHN,Heilongjiang,1750000,50.2458,127.4886
433,Lusaka,ZMB,Lusaka,1742979,-15.4167,28.2833
434,Diyarbakir,TUR,Diyarbakir,1732396,37.9108,40.2367
435,Chinchvad,IND,Maharashtra,1729320,18.6278,73.8131
436,Shuozhou,CHN,Shanxi,1714857,39.3408,112.4292
437,Vitoria,BRA,Espirito Santo,1704000,-20.324,-40.366
438,Cleveland,USA,Ohio,1710093,41.4767,-81.6804
439,Pittsburgh,USA,Pennsylvania,1703266,40.4396,-79.9762
440,Mecca,SAU,Makkah al Mukarramah,1700000,21.4225,39.8261
441,Patna,IND,Bihar,1684222,25.61,85.1414
442,Mosul,IRQ,Ninawa,1694000,36.3667,43.1167
